OrderID,OrderDate,Category,Quantity,Discount,BasePrice,Sales
1,2023-01-01 00:00:00,Beauty,3,0.12,1338,3532.32
2,2023-01-01 01:00:00,Sports,4,0.24,543,1650.72
3,2023-01-01 02:00:00,Home,5,0.25,1913,7173.75
4,2023-01-01 03:00:00,Sports,5,0.1,1635,7357.5
5,2023-01-01 04:00:00,Sports,5,0.21,546,2156.7000000000003
6,2023-01-01 05:00:00,Fashion,3,0.23,1085,2506.35
7,2023-01-01 06:00:00,Home,4,0.2,1092,3494.4
8,2023-01-01 07:00:00,Home,2,0.05,814,1546.6
9,2023-01-01 08:00:00,Home,2,0.26,173,256.04
10,2023-01-01 09:00:00,Sports,3,0.16,636,1602.72
11,2023-01-01 10:00:00,Beauty,5,0.08,200,920.0
12,2023-01-01 11:00:00,Home,1,0.13,275,239.25
13,2023-01-01 12:00:00,Grocery,3,0.01,526,1562.22
14,2023-01-01 13:00:00,Sports,3,0.04,1240,3571.2
15,2023-01-01 14:00:00,Fashion,4,0.23,1289,3970.12
16,2023-01-01 15:00:00,Beauty,2,0.0,140,280.0
17,2023-01-01 16:00:00,Grocery,3,0.12,528,1393.92
18,2023-01-01 17:00:00,Grocery,3,0.16,443,1116.36
19,2023-01-01 18:00:00,Fashion,5,0.02,1547,7580.3
20,2023-01-01 19:00:00,Beauty,5,0.29,465,1650.75
21,2023-01-01 20:00:00,Sports,1,0.07,1243,1155.99
22,2023-01-01 21:00:00,Electronics,4,0.09,708,2577.12
23,2023-01-01 22:00:00,Beauty,1,0.09,756,687.96
24,2023-01-01 23:00:00,Fashion,5,0.07,827,3845.5499999999997
25,2023-01-02 00:00:00,Grocery,2,0.0,328,656.0
26,2023-01-02 01:00:00,Sports,5,0.22,924,3603.6
27,2023-01-02 02:00:00,Beauty,4,0.29,1253,3558.52
28,2023-01-02 03:00:00,Electronics,5,0.07,1475,6858.749999999999
29,2023-01-02 04:00:00,Electronics,4,0.2,988,3161.6000000000004
30,2023-01-02 05:00:00,Home,4,0.22,1441,4495.92
31,2023-01-02 06:00:00,Home,4,0.25,1083,3249.0
32,2023-01-02 07:00:00,Fashion,4,0.13,1772,6166.56
33,2023-01-02 08:00:00,Beauty,4,0.09,935,3403.4
34,2023-01-02 09:00:00,Beauty,2,0.1,1460,2628.0
35,2023-01-02 10:00:00,Grocery,1,0.21,1396,1102.8400000000001
36,2023-01-02 11:00:00,Grocery,3,0.25,216,486.0
37,2023-01-02 12:00:00,Grocery,1,0.05,917,871.15
38,2023-01-02 13:00:00,Home,4,0.11,467,1662.52
39,2023-01-02 14:00:00,Beauty,2,0.27,1217,1776.82
40,2023-01-02 15:00:00,Beauty,5,0.24,267,1014.6
41,2023-01-02 16:00:00,Electronics,2,0.3,1053,1474.1999999999998
42,2023-01-02 17:00:00,Home,4,0.23,1838,5661.04
43,2023-01-02 18:00:00,Sports,2,0.12,1464,2576.64
44,2023-01-02 19:00:00,Home,2,0.18,760,1246.4
45,2023-01-02 20:00:00,Sports,4,0.2,794,2540.8
46,2023-01-02 21:00:00,Electronics,2,0.02,1024,2007.04
47,2023-01-02 22:00:00,Fashion,3,0.16,251,632.52
48,2023-01-02 23:00:00,Beauty,3,0.21,685,1623.45
49,2023-01-03 00:00:00,Electronics,2,0.05,1012,1922.8
50,2023-01-03 01:00:00,Beauty,5,0.23,373,1436.05
51,2023-01-03 02:00:00,Grocery,4,0.18,1677,5500.56
52,2023-01-03 03:00:00,Fashion,3,0.29,595,1267.35
53,2023-01-03 04:00:00,Fashion,5,0.01,1847,9142.65
54,2023-01-03 05:00:00,Electronics,2,0.08,200,368.0
55,2023-01-03 06:00:00,Fashion,5,0.18,656,2689.6000000000004
56,2023-01-03 07:00:00,Sports,1,0.09,1205,1096.55
